CNPJ;RazaoSocial;Trimestre;Ano;ValorDespesa;RegistroANS;Modalidade;UF
64327059000171;UNIMED CATAGUASES COOPERATIVA DE TRABALHO MÉDICO LTDA;1;2025;4156184.28;315648;Cooperativa Médica;MG
64327059000171;UNIMED CATAGUASES COOPERATIVA DE TRABALHO MÉDICO LTDA;1;2025;4156184.28;315648;Cooperativa Médica;MG
64327059000171;UNIMED CATAGUASES COOPERATIVA DE TRABALHO MÉDICO LTDA;1;2025;66607.62;315648;Cooperativa Médica;MG
64327059000171;UNIMED CATAGUASES COOPERATIVA DE TRABALHO MÉDICO LTDA;1;2025;837796.16;315648;Cooperativa Médica;MG
64327059000171;UNIMED CATAGUASES COOPERATIVA DE TRABALHO MÉDICO LTDA;1;2025;485.51;315648;Cooperativa Médica;MG
64327059000171;UNIMED CATAGUASES COOPERATIVA DE TRABALHO MÉDICO LTDA;1;2025;41775.6;315648;Cooperativa Médica;MG
64327059000171;UNIMED CATAGUASES COOPERATIVA DE TRABALHO MÉDICO LTDA;1;2025;1070.97;315648;Cooperativa Médica;MG
64327059000171;UNIMED CATAGUASES COOPERATIVA DE TRABALHO MÉDICO LTDA;1;2025;320965.89;315648;Cooperativa Médica;MG
64327059000171;UNIMED CATAGUASES COOPERATIVA DE TRABALHO MÉDICO LTDA;1;2025;134242.12;315648;Cooperativa Médica;MG
64327059000171;UNIMED CATAGUASES COOPERATIVA DE TRABALHO MÉDICO LTDA;1;2025;1156543.58;315648;Cooperativa Médica;MG
44863959000126;UNIMED DE PRESIDENTE PRUDENTE COOPERATIVA DE TRAB. MÉDICO;1;2025;3994951.57;315796;Cooperativa Médica;SP
44863959000126;UNIMED DE PRESIDENTE PRUDENTE COOPERATIVA DE TRAB. MÉDICO;1;2025;3994951.57;315796;Cooperativa Médica;SP
71499792000139;UNIMED VERTENTE DO CAPARAÓ - COOPERATIVA DE TRABALHO MÉDICO LTDA;1;2025;3740668.82;317896;Cooperativa Médica;MG
71499792000139;UNIMED VERTENTE DO CAPARAÓ - COOPERATIVA DE TRABALHO MÉDICO LTDA;1;2025;2634158.45;317896;Cooperativa Médica;MG
71499792000139;UNIMED VERTENTE DO CAPARAÓ - COOPERATIVA DE TRABALHO MÉDICO LTDA;1;2025;643762.93;317896;Cooperativa Médica;MG
71499792000139;UNIMED VERTENTE DO CAPARAÓ - COOPERATIVA DE TRABALHO MÉDICO LTDA;1;2025;462747.44;317896;Cooperativa Médica;MG
71499792000139;UNIMED VERTENTE DO CAPARAÓ - COOPERATIVA DE TRABALHO MÉDICO LTDA;1;2025;14469532.39;317896;Cooperativa Médica;MG
71499792000139;UNIMED VERTENTE DO CAPARAÓ - COOPERATIVA DE TRABALHO MÉDICO LTDA;1;2025;4733850.08;317896;Cooperativa Médica;MG
71499792000139;UNIMED VERTENTE DO CAPARAÓ - COOPERATIVA DE TRABALHO MÉDICO LTDA;1;2025;4340544.41;317896;Cooperativa Médica;MG
