RazaoSocial;UF;TotalDespesa;MediaTrimestral;DesvioPadrao
ASSOCIAÇÃO SERVIÇOS ODONTOLÓGICOS DA INDÚSTRIA DE MINAS GERAIS - ODONTOINDUSTRIA;MG;22848692.87;634685.91;700607.92
ASSOCIAÇÃO DOS FISCAIS DE TRIBUTOS ESTADUAIS DO RS - AFISVEC;RS;20621297.75;502958.48;643482.27
ZURICH SANTANDER BRASIL ODONTO LTDA.;SP;18796856.08;447544.19;278451.02
PLANO DE ASSISTÊNCIA ODONTOLÓGICA FAUCHARD LTDA. ME;BA;18557869.99;883708.09;692161.59
ODILE SERVIÇOS DE SAÚDE LTDA.;SP;18224636.32;433919.91;222818.54
HEALTH-MED SISTEMA DE SAUDE LTDA;RJ;17951642.65;284946.71;428262.11
UNIODONTO DE MATO GROSSO COOP TRAB ODONTOLOGICO LTDA;MT;17233714.35;307744.9;433664.56
QUALIDONTO - QUALIDADE EM ODONTOLOGIA LTDA ;BA;17162832.99;817277.76;639970.41
BLUZZ SAÚDE S/A;ES;17056630.59;262409.7;347985.54
SANTA CASA DA MISERICÓRDIA DE SÃO JOÃO DEL REI;MG;16918877.41;225585.03;258118.91
CAIXA SEGURADORA ESPECIALIZADA EM SAÚDE S/A;SP;16868501.75;318273.62;576662.4
MEDHEALTH PLANOS DE SAÚDE LTDA;PR;15306764.35;268539.73;655525.04
ODONTO SEG OPERADORA DE PLANOS ODONTOLOGICOS S.A.;SP;14516694.4;345635.58;478963.26
HOSPITAL DE CARIDADE SÃO VICENTE DE PAULO;PR;12878415.77;429280.53;239028.7
SAME-SERVIÇO DE ASSISTÊNCIA MÉDICA EMPRESARIAL LTDA.;MA;12736608.74;289468.38;339482.16
CROWN ODONTOLOGIA DE GRUPO LTDA;SP;11078566.22;246190.36;287090.12
INNOVA PLANO DE SAUDE LTDA;RO;10848091.87;387431.85;512149.58
SORRIDEN CONVÊNIOS ODONTOLÓGICOS S.A.;SP;10706130.82;237914.02;294139.77
INFINITY SAÚDE SUPLEMENTAR LTDA;MT;9616283.12;162987.85;241548.51
UNICONSULT - ADMINISTRADORA DE BENEFICIOS E SERVICOS LTDA;SP;8118135.89;4059067.94;447267.07
ALMA ODONTO OPERADORA DE PLANOS ODONTOLOGICOS LTDA;SP;7514897.5;178926.13;137077.71
BRASIL ODONTO OPERADORA DE PLANOS ODONTOLÓGICOS LTDA;TO;6428611.01;306124.33;212980.75
SMART CARE SISTEMAS MÉDICOS E ODONTOLÓGICOS LTDA.;SP;5967184.0;213113.71;255252.36
INTERCLINICAS PLANO VIDA USA OPERADORA DE SAUDE LTDA;SP;5626173.92;133956.52;173902.38
PLANO SIGMA SAÚDE LTDA;SP;5469811.75;248627.81;147559.32
BEMSTAR ASSISTENCIA MEDICA LTDA;BA;5115938.69;74144.04;77661.12
G & M ASSESSORIA MEDICA EMPRESARIAL LTDA;RJ;5093485.89;62882.54;92631.57
EXCELÊNCIA PLANO DE SAÚDE S/A;ES;5016396.33;98360.71;198861.43
POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA;RS;4948919.89;67793.42;106217.97
ODONTO PRIME S/S LTDA;CE;4857944.4;269885.8;159305.93
BIORAL SISTEMA ODONTOLÓGICO LTDA.;SP;4612366.5;170828.39;277656.74
SAUDIA ASSISTENCIA MÉDICA LTDA;MG;3975998.7;64129.01;88995.35
ASSISTÊNCIA MÉDICA 12 DE OUTUBRO LTDA;SP;3529987.05;168094.62;144075.43
LIVRI OPERADORA DE PLANO DE SAÚDE LTDA;SP;2538767.17;60446.84;37297.47
QUALICORP CLUBE DE SAÚDE ADMINISTRADORA DE BENEFÍCIOS LTDA.;SP;1948449.11;649483.04;146434.16
CLÍNICA SÃO GABRIEL S/S LTDA;SP;1389079.65;27781.59;29718.69
EVO SAUDE ASSISTENCIA MEDICA LTDA;DF;861805.86;31918.74;40486.91
SAGRADA SAÚDE ASSISTÊNCIA MÉDICA LTDA;MG;785669.03;19162.66;24069.03
QV BENEFÍCIOS EM SAÚDE LTDA;RJ;609578.7;203192.9;260607.96
PLURAL GESTÃO EM PLANOS DE SAÚDE LTDA;RJ;478569.42;159523.14;147858.55
SOCIODONTO PLANO DE ASSISTÊNCIA ODONTOLÓGICA LTDA;MG;317622.95;26468.58;26517.36
UNIMED PARAIBA - FEDERAÇAO DAS SOCIEDADES COOPERATIVAS DE TRABALHO MEDICO;PB;310892.39;5454.25;9853.1
SAUDE SALV ASSISTENCIA MEDICA LTDA;RO;222347.58;17103.66;16163.94
VALEM ADMINISTRADORA DE BENEFÍCIOS LTDA;MG;201265.03;67088.34;52092.98
VITTA SAUDE ADMINISTRADORA DE BENEFICIOS LTDA.;SP;53132.41;26566.2;3121.88
CORPORE ADMINISTRADORA DE BENEFICIOS DA SAUDE LTDA;SP;42000.0;7000.0;0.0
ARL ADMINISTRADORA DE BENEFÍCIOS LTDA.;SP;28400.0;2840.0;0.0
CENTRAL OPERADORA DE PLANOS DE SAÚDE NORTE-NORDESTE LTDA;PB;14360.52;1595.61;2385.35
UP HEALTH ADMINISTRADORA DE BENEFÍCIOS S/A;ES;12200.42;12200.42;0.0
LEXUS ADMINISTRADORA DE BENEFICIOS LTDA;SP;4083.0;4083.0;0.0
MAXIMED PLANOS DE SAUDE LTDA;RJ;1.0;1.0;0.0
