RazaoSocial;UF;TotalDespesa;MediaTrimestral;DesvioPadrao
UNIMED SUL CAPIXABA COOPERATIVA DE TRABALHO MÉDICO;ES;3468110917.31;12703702.99;38655314.93
UNIMED NOVA FRIBURGO-SOC.COOP.SERV.MED.HOSP.LTDA.;RJ;3425158475.84;13431994.02;36235275.77
UNIMED UBERABA COOPERATIVA DE TRABALHO MEDICO LTDA.;MG;3408370469.92;12530773.79;35092254.88
UNIMED DE SANTA BÁRBARA D'OESTE E AMERICANA - COOP DE TRABALHO MÉDICO;SP;3314770427.16;10976061.02;33540100.07
UNIMED NOVA IGUACU COOPERATIVA DE TRABALHO MEDICO;RJ;3267389516.86;19923106.81;46574830.44
UNIMED DE MARILIA COOPERATIVA DE TRABALHO MÉDICO;SP;3183902869.84;7353124.41;28025189.03
UNIMED PONTA GROSSA COOPERATIVA DE TRABALHO MEDICO;PR;3174622640.55;13624989.87;32839875.55
UNIMED VALE DO SÃO FRANCISCO COOPERATIVA DE TRABALHO MÉDICO;PE;3160924263.83;14048552.28;38638221.97
METRUS INSTITUTO DE SEGURIDADE SOCIAL;SP;3155494429.02;19240819.69;51830921.94
LEVE SAUDE OPERADORA DE PLANOS DE SAUDE S.A;RJ;3139331329.49;16350684.01;40607346.94
SOBAM CENTRO MÉDICO HOSPITALAR S.A.;SP;3082963783.76;17127576.58;51216067.76
SAMEL PLANO DE SAÚDE LTDA;AM;3002237459.85;34508476.55;76842681.22
UNIMED DE ARARAQUARA - COOP. DE TRAB. MÉDICO;SP;2967941692.4;18208231.24;41542617.04
FUNDAÇÃO COPEL DE PREVIDÊNCIA E ASSISTÊNCIA SOCIAL;PR;2967700301.71;17560356.81;46235903.65
MEDISERVICE OPERADORA DE PLANOS DE SAÚDE S.A.;SP;2964574766.89;42351068.1;81852353.37
UNIMED REGIONAL DA BAIXA MOGIANA - COOPERATIVA DE TRABALHO MÉDICO;SP;2949454547.72;9576151.13;34206827.24
UNIMED FRANCA - SOCIEDADE COOPERATIVA DE SERVIÇOS MÉDICOS E HOSPITALARES;SP;2923685293.69;7420521.05;27691143.23
REAL GRANDEZA - FUNDAÇÃO DE PREVIDÊNCIA E ASSISTÊNCIA SOCIAL;RJ;2901581587.51;13817055.18;37149002.47
COOPERATIVA CENTRAL UNIMED DE COOPERATIVAS DE ASSISTÊNCIA À SAÚDE DO RIO GRANDE DO SUL LTDA.;RS;2797397948.25;8580975.3;29825112.91
UNIMED DE CRICIÚMA COOPERATIVA DE TRABALHO MÉDICO DA REGIÃO CARBONÍFERA;SC;2788905428.3;6516134.18;24360267.23
CAIXA DE PREVIDÊNCIA E ASSISTÊNCIA DOS SERVIDORES DA FUNDAÇÃO NACIONAL DE SAÚDE - CAPESESP;RJ;2744562143.92;23865757.77;57603627.92
FUNDAÇÃO CHESF DE ASSISTÊNCIA E SEGURIDADE SOCIAL;PE;2729255727.36;24587889.44;61519141.34
ASSOCIACAO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DE SAO PAULO;SP;2674935661.93;28157217.49;67080615.03
UNIMED GOVERNADOR VALADARES COOP. DE TRABALHO MÉDICO LTDA.;MG;2668587892.37;11355693.16;30516767.88
COOPERATIVA DE TRABALHO MÉDICO DE POUSO ALEGRE;MG;2653047970.86;9374727.81;28186322.52
ASSOCIAÇÃO SANTA SAÚDE;SP;2644796030.86;17515205.5;46570763.18
ASSOCIAÇÃO DE SAÚDE PORTUGUESA DE BENEFICÊNCIA;SP;2618988214.9;23383823.35;47878502.77
UNIMED DO CEARÁ - FEDERAÇÃO DAS SOCIEDADES COOPERATIVAS MÉDICAS DO ESTADO DO CEARÁ LTDA.;CE;2558967497.15;18543242.73;43191186.79
UNIMED SANTA MARIA/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA;RS;2556402465.69;8969833.21;25883169.48
UNIMED SALTO/ITU - COOPERATIVA MÉDICA;SP;2468525785.99;8014694.11;24291120.18
ALVORECER - ASSOCIAÇÃO DE SOCORROS MÚTUOS;SP;2448631767.71;27207019.64;57458878.33
KLINI PLANOS DE SAÚDE LTDA;RJ;2382189063.56;23128049.16;46390634.89
UNIMED CHAPECÓ - COOPERATIVA DE TRABALHO MÉDICO DA REGIÃO OESTE CATARINENSE;SC;2335365568.22;11336726.06;26999689.12
PROMÉDICA - PROTEÇÃO MEDICA A EMPRESAS S.A.;BA;2309695965.08;25663288.5;56397016.66
UNIMED PATOS DE MINAS COOPERATIVA TRABALHO MÉDICO LTDA.;MG;2303522356.86;8792070.06;24570040.85
SERVIÇO SOCIAL DA INDÚSTRIA DO PAPEL, PAPELÃO E CORTIÇA DO ESTADO DE SÃO PAULO - SEPACO;SP;2257727937.35;34734275.96;54931127.01
UNIMED DE CAMPOS COOPERATIVA DE TRABALHO MÉDICO;RJ;2248041432.44;9485406.89;25086653.26
UNIMED RONDONOPOLIS COOPERATIVA DE TRABALHO MÉDICO LTDA;MT;2231931195.15;6526114.61;20854260.05
CAIXA DE ASSISTÊNCIA À SAÚDE - CABERJ;RJ;2209483566.17;12625620.38;30150149.46
CIRCULO OPERARIO CAXIENSE;RS;2193516716.35;12606417.91;30961234.15
UNIMED ANHANGUERA COOPERATIVA DE TRABALHO MÉDICO;SP;2136020569.32;9798259.49;28761716.65
UNIMED DE GUARULHOS COOPERATIVA DE TRABALHO MÉDICO;SP;2115368912.96;8888104.68;24098831.85
AUSTACLINICAS ASSISTÊNCIA MÉDICA E HOSPITALAR LTDA;SP;2109147531.41;11588722.7;29049965.09
INTEGRA ASSISTENCIA MEDICA SA;SP;2097904354.65;31786429.62;51928897.24
UNIMED DO SUDOESTE COOPERATIVA DE TRABALHO MEDICO LTDA;BA;2057021126.26;9101863.39;23788556.23
2CARE OPERADORA DE SAÚDE LTDA.;SP;2052157290.29;16549655.57;40462715.32
AMPLA PLANOS DE SAUDE LTDA;RJ;2049270545.33;42693136.36;63647927.95
UNIMED AMPARO COOPERATIVA DE TRABALHO MÉDICO;SP;1995373806.52;8045862.12;21510862.73
UNIMED RIO VERDE COOPERATIVA TRABALHO MEDICO;GO;1986729035.38;8076134.29;21510303.78
UNIMED DE BOTUCATU COOPERATIVA DE TRABALHO MÉDICO;SP;1944554592.46;11644039.48;29598277.58
UNIMED LESTE PAULISTA COOPERATIVA DE TRABALHO MÉDICO;SP;1944428760.75;5735778.06;20588822.49
FUNDAÇÃO CELESC DE SEGURIDADE SOCIAL - CELOS;SC;1936952628.86;11739106.84;29299274.74
UNIMED DE LIMEIRA COOPERATIVA DE TRABALHO MÉDICO;SP;1933441840.96;8056007.67;23997029.52
ASSOCIAÇÃO DR. BARTHOLOMEU TACCHINI;RS;1904188357.97;12206335.63;30663549.83
UNIMED PETROPOLIS-RJ COOPERATIVA DE TRABALHO MÉDICO;RJ;1870081602.11;8202112.29;19341718.89
UNIMED DE BEBEDOURO COOPERATIVA DE TRABALHO MÉDICO;SP;1853673287.97;8743741.92;22764175.65
