CNPJ;RazaoSocial;Trimestre;Ano;ValorDespesa;Status_Validacao;Motivo_Erro
76767219000182;UNIMED REGIONAL MARINGÁ COOP.DE TRABALHO MÉDICO;2;2025;47691.47;Valido;
76767219000182;UNIMED REGIONAL MARINGÁ COOP.DE TRABALHO MÉDICO;2;2025;615.48;Valido;
76767219000182;UNIMED REGIONAL MARINGÁ COOP.DE TRABALHO MÉDICO;2;2025;277752.42;Valido;
76767219000182;UNIMED REGIONAL MARINGÁ COOP.DE TRABALHO MÉDICO;2;2025;277752.42;Valido;
76767219000182;UNIMED REGIONAL MARINGÁ COOP.DE TRABALHO MÉDICO;2;2025;285503.61;Valido;
76767219000182;UNIMED REGIONAL MARINGÁ COOP.DE TRABALHO MÉDICO;2;2025;253867.0;Valido;
76767219000182;UNIMED REGIONAL MARINGÁ COOP.DE TRABALHO MÉDICO;2;2025;453177.79;Valido;
76767219000182;UNIMED REGIONAL MARINGÁ COOP.DE TRABALHO MÉDICO;2;2025;741520.73;Valido;
76767219000182;UNIMED REGIONAL MARINGÁ COOP.DE TRABALHO MÉDICO;2;2025;741520.73;Valido;
76767219000182;UNIMED REGIONAL MARINGÁ COOP.DE TRABALHO MÉDICO;2;2025;6941.8;Valido;
76767219000182;UNIMED REGIONAL MARINGÁ COOP.DE TRABALHO MÉDICO;2;2025;260142.78;Valido;
76767219000182;UNIMED REGIONAL MARINGÁ COOP.DE TRABALHO MÉDICO;2;2025;73020.83;Valido;
76767219000182;UNIMED REGIONAL MARINGÁ COOP.DE TRABALHO MÉDICO;2;2025;1093.15;Valido;
76767219000182;UNIMED REGIONAL MARINGÁ COOP.DE TRABALHO MÉDICO;2;2025;1060228.62;Valido;
76767219000182;UNIMED REGIONAL MARINGÁ COOP.DE TRABALHO MÉDICO;2;2025;379.62;Valido;
76767219000182;UNIMED REGIONAL MARINGÁ COOP.DE TRABALHO MÉDICO;2;2025;7041.47;Valido;
76767219000182;UNIMED REGIONAL MARINGÁ COOP.DE TRABALHO MÉDICO;2;2025;9978878.97;Valido;
76767219000182;UNIMED REGIONAL MARINGÁ COOP.DE TRABALHO MÉDICO;2;2025;9978878.97;Valido;
76767219000182;UNIMED REGIONAL MARINGÁ COOP.DE TRABALHO MÉDICO;2;2025;9978878.97;Valido;
76767219000182;UNIMED REGIONAL MARINGÁ COOP.DE TRABALHO MÉDICO;2;2025;9978878.97;Valido;
76767219000182;UNIMED REGIONAL MARINGÁ COOP.DE TRABALHO MÉDICO;2;2025;4603236.03;Valido;
76767219000182;UNIMED REGIONAL MARINGÁ COOP.DE TRABALHO MÉDICO;2;2025;4615020.04;Valido;
76767219000182;UNIMED REGIONAL MARINGÁ COOP.DE TRABALHO MÉDICO;2;2025;11784.01;Valido;
76767219000182;UNIMED REGIONAL MARINGÁ COOP.DE TRABALHO MÉDICO;2;2025;5375642.94;Valido;
39384664000137;UNIMED NOROESTE CAPIXABA COOPERATIVA DE TRABALHO MÉDICO.;2;2025;1342621.7;Valido;
39384664000137;UNIMED NOROESTE CAPIXABA COOPERATIVA DE TRABALHO MÉDICO.;2;2025;1342621.7;Valido;
20119509000165;FUNDAÇÃO LIBERTAS DE SEGURIDADE SOCIAL;2;2025;774541.62;Valido;
20119509000165;FUNDAÇÃO LIBERTAS DE SEGURIDADE SOCIAL;2;2025;774541.62;Valido;
20119509000165;FUNDAÇÃO LIBERTAS DE SEGURIDADE SOCIAL;2;2025;116295.71;Valido;
20119509000165;FUNDAÇÃO LIBERTAS DE SEGURIDADE SOCIAL;2;2025;220970.83;Valido;
20119509000165;FUNDAÇÃO LIBERTAS DE SEGURIDADE SOCIAL;2;2025;658245.91;Valido;
20119509000165;FUNDAÇÃO LIBERTAS DE SEGURIDADE SOCIAL;2;2025;658245.91;Valido;
20119509000165;FUNDAÇÃO LIBERTAS DE SEGURIDADE SOCIAL;2;2025;98486.91;Valido;
20119509000165;FUNDAÇÃO LIBERTAS DE SEGURIDADE SOCIAL;2;2025;98486.91;Valido;
